learning_rate,learner,model,weight_decay,train_batch_size,mae,rmse,auc_roc,epoch,embedding_size
1e-06,RMSprop,NeuCMFii,0.001,1000,4.1152,4.2212,0.455,10,32
1e-06,RMSprop,NeuCMFii,0.1,500,4.1149,4.2209,0.4579,10,32
1e-06,RMSprop,NeuCMFii,0.1,1000,4.1287,4.2344,0.4614,10,32
1e-06,RMSprop,NeuCMFii,0.001,500,4.1114,4.2174,0.467,10,128
1e-06,RMSprop,NeuCMFii,0.001,1000,4.1101,4.2161,0.4607,10,128
1e-06,RMSprop,NeuCMFii,0.1,500,4.1066,4.2127,0.5009,10,128
1e-06,RMSprop,NeuCMFii,0.1,1000,4.1123,4.2183,0.4551,10,128
1e-06,RMSprop,NeuCMFii,0.001,500,4.117,4.2229,0.5015,10,512
1e-06,RMSprop,NeuCMFii,0.001,1000,4.1156,4.2216,0.4694,10,512
1e-06,RMSprop,NeuCMFii,0.1,500,4.125,4.2307,0.4955,10,512
1e-06,RMSprop,NeuCMFii,0.1,1000,4.1088,4.215,0.5012,10,512
1e-06,RMSprop,NeuCMFww,0.001,500,4.1197,4.2255,0.5155,10,32
1e-06,RMSprop,NeuCMFww,0.001,1000,4.12,4.2259,0.5171,10,32
1e-06,RMSprop,NeuCMFww,0.1,500,4.1194,4.2252,0.5088,10,32
1e-06,RMSprop,NeuCMFww,0.1,1000,4.1045,4.2108,0.4987,10,32
1e-06,RMSprop,NeuCMFww,0.001,500,4.1234,4.2291,0.4775,10,128
1e-06,RMSprop,NeuCMFww,0.001,1000,4.1176,4.2235,0.527,10,128
1e-06,RMSprop,NeuCMFww,0.1,500,4.1158,4.2217,0.4961,10,128
1e-06,RMSprop,NeuCMFww,0.1,1000,4.1028,4.2091,0.5088,10,128
1e-06,RMSprop,NeuCMFww,0.001,500,4.1124,4.2184,0.5232,10,512
1e-06,RMSprop,NeuCMFww,0.001,1000,4.1076,4.2137,0.4874,10,512
1e-06,RMSprop,NeuCMFww,0.1,500,4.1178,4.2237,0.4636,10,512
1e-06,RMSprop,NeuCMFww,0.1,1000,4.1271,4.2328,0.5013,10,512
1e-06,RMSprop,NeuCMFi0,0.001,500,4.1254,4.2311,0.4752,10,32
1e-06,RMSprop,NeuCMFi0,0.001,1000,4.1256,4.2313,0.4754,10,32
1e-06,RMSprop,NeuCMFi0,0.1,500,4.1378,4.2432,0.4784,10,32
1e-06,RMSprop,NeuCMFi0,0.1,1000,4.1383,4.2436,0.4968,10,32
1e-06,RMSprop,NeuCMFi0,0.001,500,4.1219,4.2277,0.5284,10,128
1e-06,RMSprop,NeuCMFi0,0.001,1000,4.1321,4.2376,0.5013,10,128
1e-06,RMSprop,NeuCMFi0,0.1,500,4.1221,4.2279,0.5028,10,128
1e-06,RMSprop,NeuCMFi0,0.1,1000,4.1322,4.2378,0.5088,10,128
1e-06,RMSprop,NeuCMFi0,0.001,500,4.1226,4.2284,0.489,10,512
1e-06,RMSprop,NeuCMFi0,0.001,1000,4.1174,4.2233,0.446,10,512
1e-06,RMSprop,NeuCMFi0,0.1,500,4.1182,4.2241,0.4928,10,512
1e-06,RMSprop,NeuCMFi0,0.1,1000,4.1302,4.2358,0.4852,10,512
1e-06,RMSprop,NeuCMF0i,0.001,500,4.1222,4.228,0.5446,10,32
1e-06,RMSprop,NeuCMF0i,0.001,1000,4.1232,4.2289,0.537,10,32
1e-06,RMSprop,NeuCMF0i,0.1,500,4.1225,4.2282,0.5396,10,32
1e-06,RMSprop,NeuCMF0i,0.1,1000,4.1235,4.2292,0.5332,10,32
1e-06,RMSprop,NeuCMF0i,0.001,500,4.0998,4.2061,0.4969,10,128
1e-06,RMSprop,NeuCMF0i,0.001,1000,4.0897,4.1963,0.5166,10,128
1e-06,RMSprop,NeuCMF0i,0.1,500,4.0758,4.1827,0.4889,10,128
1e-06,RMSprop,NeuCMF0i,0.1,1000,4.1023,4.2086,0.492,10,128
1e-06,RMSprop,NeuCMF0i,0.001,500,4.1386,4.244,0.501,10,512
1e-06,RMSprop,NeuCMF0i,0.001,1000,4.128,4.2336,0.449,10,512
1e-06,RMSprop,NeuCMF0i,0.1,500,4.116,4.2219,0.5157,10,512
1e-06,RMSprop,NeuCMF0i,0.1,1000,4.1378,4.2432,0.4875,10,512
1e-06,RMSprop,NeuCMFw0,0.001,500,4.1346,4.24,0.4933,10,32
1e-06,RMSprop,NeuCMFw0,0.001,1000,4.1347,4.2401,0.5403,10,32
1e-06,RMSprop,NeuCMFw0,0.1,500,4.134,4.2395,0.5243,10,32
1e-06,RMSprop,NeuCMFw0,0.1,1000,4.1347,4.2401,0.5257,10,32
1e-06,RMSprop,NeuCMFw0,0.001,500,4.1214,4.2272,0.4881,10,128
1e-06,RMSprop,NeuCMFw0,0.001,1000,4.1215,4.2273,0.4971,10,128
1e-06,RMSprop,NeuCMFw0,0.1,500,4.1199,4.2257,0.5289,10,128
1e-06,RMSprop,NeuCMFw0,0.1,1000,4.1194,4.2253,0.5162,10,128
1e-06,RMSprop,NeuCMFw0,0.001,500,4.1157,4.2216,0.4642,10,512
1e-06,RMSprop,NeuCMFw0,0.001,1000,4.1117,4.2177,0.5129,10,512
1e-06,RMSprop,NeuCMFw0,0.1,500,4.1293,4.2349,0.5148,10,512
1e-06,RMSprop,NeuCMFw0,0.1,1000,4.1304,4.236,0.5056,10,512
1e-06,RMSprop,NeuCMF0w,0.001,500,4.115,4.2209,0.5055,10,32
1e-06,RMSprop,NeuCMF0w,0.001,1000,4.1154,4.2214,0.4806,10,32
1e-06,RMSprop,NeuCMF0w,0.1,500,4.1151,4.2211,0.5055,10,32
1e-06,RMSprop,NeuCMF0w,0.1,1000,4.1155,4.2214,0.5032,10,32
1e-06,RMSprop,NeuCMF0w,0.001,500,4.1273,4.233,0.4975,10,128
1e-06,RMSprop,NeuCMF0w,0.001,1000,4.1277,4.2334,0.5139,10,128
1e-06,RMSprop,NeuCMF0w,0.1,500,4.1117,4.2178,0.5177,10,128
1e-06,RMSprop,NeuCMF0w,0.1,1000,4.1122,4.2182,0.4963,10,128
1e-06,RMSprop,NeuCMF0w,0.001,500,4.1216,4.2273,0.4996,10,512
1e-06,RMSprop,NeuCMF0w,0.001,1000,4.1144,4.2204,0.5026,10,512
1e-06,RMSprop,NeuCMF0w,0.1,500,4.105,4.2112,0.4979,10,512
1e-06,RMSprop,NeuCMF0w,0.1,1000,4.1382,4.2436,0.4994,10,512
1e-06,adam,NeuCMFii,0.001,500,4.1136,4.2196,0.4386,20,32
1e-06,adam,NeuCMFii,0.001,1000,4.1286,4.2342,0.4687,20,32
1e-06,adam,NeuCMFii,0.1,500,4.1143,4.2203,0.4515,20,32
1e-06,adam,NeuCMFii,0.1,1000,4.1155,4.2214,0.4622,20,32
1e-06,adam,NeuCMFii,0.001,500,4.1169,4.2228,0.4964,20,128
1e-06,adam,NeuCMFii,0.001,1000,4.1185,4.2243,0.5123,20,128
1e-06,adam,NeuCMFii,0.1,500,4.1109,4.2169,0.4643,20,128
1e-06,adam,NeuCMFii,0.1,1000,4.1021,4.2084,0.5134,20,128
1e-06,adam,NeuCMFii,0.001,500,4.0887,4.1953,0.5123,20,512
1e-06,adam,NeuCMFii,0.001,1000,4.1245,4.2303,0.5009,20,512
1e-06,adam,NeuCMFii,0.1,500,4.0988,4.2052,0.49,20,512
1e-06,adam,NeuCMFii,0.1,1000,4.1184,4.2242,0.5121,20,512
1e-06,adam,NeuCMFww,0.001,500,4.1194,4.2253,0.5239,20,32
1e-06,adam,NeuCMFww,0.001,1000,4.12,4.2258,0.5064,20,32
1e-06,adam,NeuCMFww,0.1,500,4.1196,4.2254,0.5073,20,32
1e-06,adam,NeuCMFww,0.1,1000,4.1201,4.2259,0.5079,20,32
1e-06,adam,NeuCMFww,0.001,500,4.1265,4.2322,0.498,20,128
1e-06,adam,NeuCMFww,0.001,1000,4.1283,4.2339,0.4698,20,128
1e-06,adam,NeuCMFww,0.1,500,4.1171,4.223,0.5087,20,128
1e-06,adam,NeuCMFww,0.1,1000,4.1229,4.2287,0.4753,20,128
1e-06,adam,NeuCMFww,0.001,500,4.1152,4.2212,0.4868,20,512
1e-06,adam,NeuCMFww,0.001,1000,4.1223,4.228,0.4874,20,512
1e-06,adam,NeuCMFww,0.1,500,4.1091,4.2152,0.5294,20,512
1e-06,adam,NeuCMFww,0.1,1000,4.1071,4.2133,0.49,20,512
1e-06,adam,NeuCMFi0,0.001,500,4.1328,4.2383,0.4821,20,32
1e-06,adam,NeuCMFi0,0.001,1000,4.1256,4.2313,0.4754,20,32
1e-06,adam,NeuCMFi0,0.1,500,4.1383,4.2436,0.4968,20,32
1e-06,adam,NeuCMFi0,0.1,1000,4.1378,4.2432,0.4785,20,32
1e-06,adam,NeuCMFi0,0.001,500,4.1215,4.2273,0.5215,20,128
1e-06,adam,NeuCMFi0,0.001,1000,4.1222,4.228,0.5286,20,128
1e-06,adam,NeuCMFi0,0.1,500,4.1145,4.2204,0.5015,20,128
1e-06,adam,NeuCMFi0,0.1,1000,4.1259,4.2316,0.5058,20,128
1e-06,adam,NeuCMFi0,0.001,500,4.1161,4.2221,0.5,20,512
1e-06,adam,NeuCMFi0,0.001,1000,4.1251,4.2308,0.4946,20,512
1e-06,adam,NeuCMFi0,0.1,500,4.1295,4.2351,0.4848,20,512
1e-06,adam,NeuCMFi0,0.1,1000,4.1334,4.2389,0.4961,20,512
1e-06,adam,NeuCMF0i,0.001,500,4.1212,4.2271,0.5249,20,32
1e-06,adam,NeuCMF0i,0.001,1000,4.1338,4.2393,0.5272,20,32
1e-06,adam,NeuCMF0i,0.1,500,4.1215,4.2273,0.5384,20,32
1e-06,adam,NeuCMF0i,0.1,1000,4.1234,4.2291,0.5391,20,32
1e-06,adam,NeuCMF0i,0.001,500,4.0975,4.2038,0.4887,20,128
1e-06,adam,NeuCMF0i,0.001,1000,4.1016,4.2079,0.4927,20,128
1e-06,adam,NeuCMF0i,0.1,500,4.0931,4.1996,0.5025,20,128
1e-06,adam,NeuCMF0i,0.1,1000,4.1122,4.2182,0.5099,20,128
1e-06,adam,NeuCMF0i,0.001,500,4.1312,4.2368,0.4473,20,512
1e-06,adam,NeuCMF0i,0.001,1000,4.1185,4.2244,0.499,20,512
1e-06,adam,NeuCMF0i,0.1,500,4.1113,4.2174,0.5221,20,512
1e-06,adam,NeuCMF0i,0.1,1000,4.1038,4.2101,0.4982,20,512
1e-06,adam,NeuCMFw0,0.001,500,4.1296,4.2351,0.5388,20,32
1e-06,adam,NeuCMFw0,0.001,1000,4.1346,4.2401,0.5048,20,32
1e-06,adam,NeuCMFw0,0.1,500,4.1345,4.24,0.4939,20,32
1e-06,adam,NeuCMFw0,0.1,1000,4.1347,4.2402,0.5405,20,32
1e-06,adam,NeuCMFw0,0.001,500,4.121,4.2268,0.4972,20,128
1e-06,adam,NeuCMFw0,0.001,1000,4.113,4.219,0.4999,20,128
1e-06,adam,NeuCMFw0,0.1,500,4.1195,4.2254,0.5294,20,128
1e-06,adam,NeuCMFw0,0.1,1000,4.1218,4.2276,0.4893,20,128
1e-06,adam,NeuCMFw0,0.001,500,4.133,4.2384,0.4877,20,512
1e-06,adam,NeuCMFw0,0.001,1000,4.1303,4.2359,0.512,20,512
1e-06,adam,NeuCMFw0,0.1,500,4.1201,4.2259,0.4698,20,512
1e-06,adam,NeuCMFw0,0.1,1000,4.1192,4.225,0.4932,20,512
1e-06,adam,NeuCMF0w,0.001,500,4.1139,4.2199,0.4813,20,32
1e-06,adam,NeuCMF0w,0.001,1000,4.1155,4.2214,0.4918,20,32
1e-06,adam,NeuCMF0w,0.1,500,4.1146,4.2206,0.4932,20,32
1e-06,adam,NeuCMF0w,0.1,1000,4.117,4.2229,0.5157,20,32
1e-06,adam,NeuCMF0w,0.001,500,4.1256,4.2312,0.4995,20,128
1e-06,adam,NeuCMF0w,0.001,1000,4.1261,4.2318,0.4962,20,128
1e-06,adam,NeuCMF0w,0.1,500,4.12,4.2258,0.5022,20,128
1e-06,adam,NeuCMF0w,0.1,1000,4.1276,4.2333,0.4872,20,128
1e-06,adam,NeuCMF0w,0.001,500,4.1094,4.2155,0.4804,20,512
1e-06,adam,NeuCMF0w,0.001,1000,4.1282,4.2338,0.5093,20,512
1e-06,adam,NeuCMF0w,0.1,500,4.1193,4.2251,0.5168,20,512
1e-06,adam,NeuCMF0w,0.1,1000,4.1303,4.2359,0.4981,20,512
1e-06,RMSprop,NeuCMFii,0.001,500,4.1274,4.2331,0.4602,20,32
1e-06,RMSprop,NeuCMFii,0.001,1000,4.1144,4.2204,0.4601,20,32
1e-06,RMSprop,NeuCMFii,0.1,500,4.1137,4.2197,0.4516,20,32
1e-06,RMSprop,NeuCMFii,0.1,1000,4.1149,4.2208,0.461,20,32
1e-06,RMSprop,NeuCMFii,0.001,500,4.0969,4.2033,0.5023,20,128
1e-06,RMSprop,NeuCMFii,0.001,1000,4.1113,4.2173,0.4671,20,128
1e-06,RMSprop,NeuCMFii,0.1,500,4.106,4.2122,0.4854,20,128
1e-06,RMSprop,NeuCMFii,0.1,1000,4.0921,4.1987,0.5258,20,128
1e-06,RMSprop,NeuCMFii,0.001,500,4.0953,4.2017,0.491,20,512
1e-06,RMSprop,NeuCMFii,0.001,1000,4.1031,4.2093,0.5,20,512
1e-06,RMSprop,NeuCMFii,0.1,500,4.1273,4.233,0.5035,20,512
1e-06,RMSprop,NeuCMFii,0.1,1000,4.1192,4.225,0.4942,20,512
1e-06,RMSprop,NeuCMFww,0.001,500,4.1191,4.2249,0.5222,20,32
1e-06,RMSprop,NeuCMFww,0.001,1000,4.1192,4.225,0.5158,20,32
1e-06,RMSprop,NeuCMFww,0.1,500,4.1193,4.2251,0.527,20,32
1e-06,RMSprop,NeuCMFww,0.1,1000,4.1198,4.2256,0.5075,20,32
1e-06,RMSprop,NeuCMFww,0.001,500,4.1167,4.2226,0.5257,20,128
1e-06,RMSprop,NeuCMFww,0.001,1000,4.1215,4.2273,0.5245,20,128
1e-06,RMSprop,NeuCMFww,0.1,500,4.1264,4.2321,0.5033,20,128
1e-06,RMSprop,NeuCMFww,0.1,1000,4.1197,4.2255,0.5114,20,128
1e-06,RMSprop,NeuCMFww,0.001,500,4.1065,4.2126,0.5008,20,512
1e-06,RMSprop,NeuCMFww,0.001,1000,4.1303,4.2359,0.485,20,512
1e-06,RMSprop,NeuCMFww,0.1,500,4.0986,4.205,0.4864,20,512
1e-06,RMSprop,NeuCMFww,0.1,1000,4.1067,4.2129,0.4972,20,512
1e-06,RMSprop,NeuCMFi0,0.001,500,4.1249,4.2306,0.4938,20,32
1e-06,RMSprop,NeuCMFi0,0.001,1000,4.1254,4.2311,0.4862,20,32
1e-06,RMSprop,NeuCMFi0,0.1,500,4.1251,4.2308,0.5226,20,32
1e-06,RMSprop,NeuCMFi0,0.1,1000,4.1255,4.2312,0.4687,20,32
1e-06,RMSprop,NeuCMFi0,0.001,500,4.1282,4.2338,0.5111,20,128
1e-06,RMSprop,NeuCMFi0,0.001,1000,4.1275,4.2331,0.5007,20,128
1e-06,RMSprop,NeuCMFi0,0.1,500,4.1316,4.2372,0.4982,20,128
1e-06,RMSprop,NeuCMFi0,0.1,1000,4.1222,4.2279,0.4902,20,128
1e-06,RMSprop,NeuCMFi0,0.001,500,4.1192,4.225,0.5128,20,512
1e-06,RMSprop,NeuCMFi0,0.001,1000,4.1351,4.2406,0.4949,20,512
1e-06,RMSprop,NeuCMFi0,0.1,500,4.1078,4.2139,0.5019,20,512
1e-06,RMSprop,NeuCMFi0,0.1,1000,4.13,4.2356,0.4982,20,512
1e-06,RMSprop,NeuCMF0i,0.001,500,4.1179,4.2238,0.5195,20,32
1e-06,RMSprop,NeuCMF0i,0.001,1000,4.1221,4.2279,0.529,20,32
1e-06,RMSprop,NeuCMF0i,0.1,500,4.1183,4.2242,0.5246,20,32
1e-06,RMSprop,NeuCMF0i,0.1,1000,4.1141,4.2201,0.5163,20,32
1e-06,RMSprop,NeuCMF0i,0.001,500,4.0956,4.202,0.4882,20,128
1e-06,RMSprop,NeuCMF0i,0.001,1000,4.1106,4.2167,0.4941,20,128
1e-06,RMSprop,NeuCMF0i,0.1,500,4.1057,4.2119,0.505,20,128
1e-06,RMSprop,NeuCMF0i,0.1,1000,4.0877,4.1944,0.5021,20,128
1e-06,RMSprop,NeuCMF0i,0.001,500,4.1154,4.2213,0.4382,20,512
1e-06,RMSprop,NeuCMF0i,0.001,1000,4.1164,4.2223,0.4751,20,512
1e-06,RMSprop,NeuCMF0i,0.1,500,4.1277,4.2334,0.5326,20,512
1e-06,RMSprop,NeuCMF0i,0.1,1000,4.0962,4.2026,0.5043,20,512
1e-06,RMSprop,NeuCMFw0,0.001,500,4.1343,4.2398,0.5045,20,32
1e-06,RMSprop,NeuCMFw0,0.001,1000,4.1346,4.24,0.5402,20,32
1e-06,RMSprop,NeuCMFw0,0.1,500,4.1293,4.2349,0.5374,20,32
1e-06,RMSprop,NeuCMFw0,0.1,1000,4.1346,4.2401,0.5408,20,32
1e-06,RMSprop,NeuCMFw0,0.001,500,4.1138,4.2198,0.5118,20,128
1e-06,RMSprop,NeuCMFw0,0.001,1000,4.1157,4.2216,0.5136,20,128
1e-06,RMSprop,NeuCMFw0,0.1,500,4.1159,4.2219,0.5302,20,128
1e-06,RMSprop,NeuCMFw0,0.1,1000,4.1207,4.2265,0.4945,20,128
1e-06,RMSprop,NeuCMFw0,0.001,500,4.1187,4.2246,0.4912,20,512
1e-06,RMSprop,NeuCMFw0,0.001,1000,4.1261,4.2318,0.5342,20,512
1e-06,RMSprop,NeuCMFw0,0.1,500,4.1285,4.2341,0.5049,20,512
1e-06,RMSprop,NeuCMFw0,0.1,1000,4.1196,4.2254,0.4939,20,512
1e-06,RMSprop,NeuCMF0w,0.001,500,4.1152,4.2212,0.5149,20,32
1e-06,RMSprop,NeuCMF0w,0.001,1000,4.1164,4.2224,0.5154,20,32
1e-06,RMSprop,NeuCMF0w,0.1,500,4.0934,4.1999,0.4968,20,32
1e-06,RMSprop,NeuCMF0w,0.1,1000,4.1151,4.221,0.5056,20,32
1e-06,RMSprop,NeuCMF0w,0.001,500,4.1172,4.2231,0.5152,20,128
1e-06,RMSprop,NeuCMF0w,0.001,1000,4.0988,4.2051,0.4659,20,128
1e-06,RMSprop,NeuCMF0w,0.1,500,4.1109,4.2169,0.4893,20,128
1e-06,RMSprop,NeuCMF0w,0.1,1000,4.1203,4.2261,0.5028,20,128
1e-06,RMSprop,NeuCMF0w,0.001,500,4.1387,4.244,0.4902,20,512
1e-06,RMSprop,NeuCMF0w,0.001,1000,4.1096,4.2157,0.5039,20,512
1e-06,RMSprop,NeuCMF0w,0.1,500,4.1039,4.2101,0.5352,20,512
1e-06,RMSprop,NeuCMF0w,0.1,1000,4.1034,4.2097,0.4688,20,512
1e-06,adam,NeuCMFii,0.001,500,4.1265,4.2321,0.4557,30,32
1e-06,adam,NeuCMFii,0.001,1000,4.1151,4.2211,0.464,30,32
1e-06,adam,NeuCMFii,0.1,500,4.1131,4.2191,0.4588,30,32
1e-06,adam,NeuCMFii,0.1,1000,4.1155,4.2215,0.4636,30,32
1e-06,adam,NeuCMFii,0.001,500,4.1088,4.215,0.4912,30,128
1e-06,adam,NeuCMFii,0.001,1000,4.1105,4.2166,0.4541,30,128
1e-06,adam,NeuCMFii,0.1,500,4.1049,4.2111,0.4954,30,128
1e-06,adam,NeuCMFii,0.1,1000,4.109,4.2151,0.4575,30,128
1e-06,adam,NeuCMFii,0.001,500,4.1058,4.212,0.4979,30,512
1e-06,adam,NeuCMFii,0.001,1000,4.1331,4.2386,0.502,30,512
1e-06,adam,NeuCMFii,0.1,500,4.129,4.2346,0.4909,30,512
1e-06,adam,NeuCMFii,0.1,1000,4.1147,4.2207,0.5087,30,512
1e-06,adam,NeuCMFww,0.001,500,4.1188,4.2247,0.5223,30,32
1e-06,adam,NeuCMFww,0.001,1000,4.1197,4.2255,0.5243,30,32
1e-06,adam,NeuCMFww,0.1,500,4.119,4.2249,0.5088,30,32
1e-06,adam,NeuCMFww,0.1,1000,4.1198,4.2256,0.5212,30,32
1e-06,adam,NeuCMFww,0.001,500,4.1246,4.2303,0.515,30,128
1e-06,adam,NeuCMFww,0.001,1000,4.1342,4.2397,0.5007,30,128
1e-06,adam,NeuCMFww,0.1,500,4.1272,4.2328,0.4823,30,128
1e-06,adam,NeuCMFww,0.1,1000,4.1383,4.2437,0.5033,30,128
1e-06,adam,NeuCMFww,0.001,500,4.1028,4.2091,0.4875,30,512
1e-06,adam,NeuCMFww,0.001,1000,4.1179,4.2238,0.5017,30,512
1e-06,adam,NeuCMFww,0.1,500,4.121,4.2267,0.5037,30,512
1e-06,adam,NeuCMFww,0.1,1000,4.1086,4.2147,0.5263,30,512
1e-06,adam,NeuCMFi0,0.001,500,4.1246,4.2304,0.5225,30,32
1e-06,adam,NeuCMFi0,0.001,1000,4.1253,4.231,0.5227,30,32
1e-06,adam,NeuCMFi0,0.1,500,4.1375,4.2429,0.4827,30,32
1e-06,adam,NeuCMFi0,0.1,1000,4.1331,4.2386,0.5075,30,32
1e-06,adam,NeuCMFi0,0.001,500,4.1229,4.2286,0.5031,30,128
1e-06,adam,NeuCMFi0,0.001,1000,4.1138,4.2198,0.51,30,128
1e-06,adam,NeuCMFi0,0.1,500,4.1212,4.227,0.522,30,128
1e-06,adam,NeuCMFi0,0.1,1000,4.1182,4.2241,0.5264,30,128
1e-06,adam,NeuCMFi0,0.001,500,4.1249,4.2306,0.5128,30,512
1e-06,adam,NeuCMFi0,0.001,1000,4.1155,4.2215,0.4804,30,512
